Species name,Group (Order),Stage bin,Age (in Mya),Youngest Age,Environment (terrestrial/aquatic),Source,Body length (cm),Body mass (kg),source BM,"Diet (herbivore, omnivore,carnivore, small stuff eater)",Head presence,Head surface,Head projections,Head function,Body presence,Body projections,Body surface,Body function,Tail presence,Tail projections,Tail surface,Tail function,Notes,Habitat or water depth,Geographical Distribution
Hyneria_lindae,Sarcopterygii,Famennian,,,,,250,,Thomson 1968,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Thomson 1968, fig. 3+5, disarticulated skull fragments, https://ia800208.us.archive.org/25/items/biostor-118533/biostor-118533.pdf. Daeschler & Downs 2018, disarticulated skull,  https://doi.org/10.1080/02724634.2018.1448834",,
Orlovichthys_limnatus,Sarcopterygii,Famennian,,,,,28,,Krupina et al. 2001,?Carnivore,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Krupina et al. 2001, fig. 2+3, skull and mandible (line drawing). https://doi.org/10.1139/e01-028",,
Apatorhynchus_opistheretmus,Sarcopterygii,Famennian,,,,,80,,Friedman & Daeschler 2007 (2006?),,?1,?0,?0,NA,0,NA,NA,NA,0,NA,NA,NA,"Friedman & Daeschler 2006, fig.2, fig. 3, near complete skull roof. https://doi.org/10.1111/j.1475-4983.2006.00594.x",,
Canowindra_grossi,Sarcopterygii,Famennian,,,,,52,,Frickhinger 1991,,1,0,0,NA,1,0,0,NA,0,NA,NA,NA,"Long 1985, skull (cast of holotype). Low res 3D scan of holotype head and body at https://natural.austmus.pedestal3d.com/r/ALTWfgsv01",,
Mandageria_fairfaxi,Sarcopterygii,Famennian,,,,,160,,Johanson et al. 2003,,1,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,"Johanson & Ahlberg 1997, skull. Low res 3D scan of holotype at https://austmus.pedestal3d.com/r/IMSVWacrtu",,
Cabonnichthys_bursi,Sarcopterygii,Famennian,,,,,74,,Ahlberg & Johanson 1997,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Ahlberg & Johanson 1997, figure 2. https://www.jstor.org/stable/4523855",,
Gooloogongia_loomesi,Sarcopterygii,Famennian,,,,,89,,Johanson & Ahlberg 1998,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"Johanson & Ahlberg 1998, figure 1. https://doi.org/10.1038/29058",,
Phaneropleuron_andersoni,Sarcopterygii,Famennian,,,,,33,,Frickhinger 1991,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"https://collections.st-andrews.ac.uk/item/phaneropleuron-andersoni-agassiz/1017498, http://www.3d-fossils.ac.uk/fossilType.cfm?typSampleId=71954",,
Rhynchodipterus_elginensis,Sarcopterygii,Famennian,,,,,50,,Ahlberg et al. 2001,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"https://twitter.com/gsciencelady/status/1032930493967343616, photograph of holotype, complete skeleton",,
Sterropterygion_brandei,Sarcopterygii,Famennian,,,,,38,,Thomson 1972,,1,0,0,NA,1,0,0,NA,1,0,0,NA,"https://collections.peabody.yale.edu/search/Record/YPM-VP-006271, holotype, complete skeleton",,
